Idade,Gênero,Série,Média de Notas,Frequência,Participação em Atividades Extracurriculares,Motivo da Evasão,Renda Familiar,Localização,Evasao
17,Masculino,2,9.5,95.7%,Não,Problemas Familiares,4906,Urbana,1
17,Masculino,3,6.4,51.5%,Sim,Falta de Apoio Escolar,4114,Rural,1
16,Feminino,1,8.5,70.2%,Não,Outros,1244,Rural,1
17,Masculino,2,7.2,52.3%,Não,Falta de Interesse,4414,Urbana,1
15,Masculino,3,8.2,79.1%,Não,Falta de Interesse,1649,Urbana,1
17,Feminino,1,5.4,81.9%,Não,Problemas Financeiros,3582,Rural,1
15,Feminino,2,9.2,95.0%,Sim,Problemas de Saúde,908,Urbana,1
15,Masculino,3,7.3,57.2%,Sim,Falta de Interesse,2567,Urbana,1
18,Feminino,1,8.7,61.5%,Não,Falta de Apoio Familiar,4886,Rural,1
16,Masculino,1,7.3,53.9%,Não,Outros,1875,Rural,1
18,Feminino,3,5.5,90.7%,Sim,Problemas de Saúde,4583,Urbana,1
15,Feminino,2,7.6,62.9%,Não,0,3821,Rural,0
15,Feminino,3,8.1,51.9%,Sim,0,4494,Urbana,0
16,Masculino,2,6.9,50.1%,Sim,Outros,3439,Urbana,1
18,Masculino,1,6.0,78.1%,Não,Outros,3221,Rural,1
17,Feminino,1,8.6,72.6%,Sim,Falta de Apoio Familiar,4392,Rural,1
16,Feminino,3,6.0,71.2%,Não,Falta de Apoio Escolar,4971,Urbana,1
15,Feminino,2,8.7,87.0%,Não,0,3512,Urbana,0
15,Masculino,3,8.1,51.6%,Não,Falta de Interesse,1865,Rural,1
15,Feminino,1,8.8,62.8%,Sim,Falta de Interesse,4427,Urbana,1
15,Masculino,3,5.8,60.8%,Sim,Outros,3337,Rural,1
17,Feminino,3,9.4,95.5%,Não,Problemas Financeiros,728,Urbana,1
16,Masculino,2,5.9,64.9%,Sim,Falta de Apoio Escolar,4527,Rural,1
18,Masculino,3,5.0,89.8%,Sim,Falta de Interesse,3476,Rural,1
16,Feminino,1,7.6,62.6%,Sim,Problemas de Saúde,758,Rural,1
17,Feminino,2,7.6,80.0%,Não,Outros,4775,Rural,1
15,Feminino,2,9.3,71.0%,Não,0,3081,Rural,0
16,Feminino,1,5.8,75.5%,Sim,Problemas Familiares,1600,Rural,1
17,Masculino,2,6.9,88.8%,Não,Outros,1378,Urbana,1
16,Feminino,1,8.9,79.7%,Não,Falta de Apoio Familiar,2600,Urbana,1
17,Masculino,2,8.9,75.9%,Não,Falta de Apoio Familiar,2027,Urbana,1
18,Feminino,2,8.9,56.7%,Não,Problemas Financeiros,3398,Rural,1
15,Masculino,1,5.9,54.9%,Sim,Problemas Familiares,2991,Urbana,1
15,Feminino,2,5.2,68.6%,Não,Outros,2559,Rural,1
15,Masculino,1,6.5,56.5%,Sim,Problemas Financeiros,2828,Rural,1
15,Feminino,3,8.0,94.7%,Não,Falta de Interesse,1027,Rural,1
15,Masculino,3,7.5,80.3%,Não,Falta de Apoio Escolar,2864,Rural,1
15,Masculino,2,7.9,82.9%,Sim,Outros,2072,Urbana,1
16,Masculino,2,6.3,67.9%,Não,Outros,1716,Urbana,1
17,Masculino,1,7.7,55.1%,Não,Falta de Apoio Familiar,3810,Rural,1
18,Masculino,3,9.4,75.0%,Sim,Problemas Financeiros,3024,Urbana,1
15,Masculino,1,6.1,89.7%,Sim,Problemas Financeiros,3650,Urbana,1
17,Feminino,3,9.3,89.9%,Não,Problemas de Saúde,4862,Rural,1
15,Feminino,1,9.8,98.5%,Sim,Falta de Interesse,777,Rural,1
15,Masculino,3,8.0,69.5%,Não,Problemas Familiares,3032,Rural,1
18,Feminino,2,6.5,56.5%,Não,Problemas de Saúde,3531,Rural,1
15,Feminino,2,8.6,55.0%,Sim,Falta de Interesse,2875,Urbana,1
16,Feminino,3,6.1,50.6%,Sim,0,2193,Rural,0
15,Feminino,3,8.4,67.3%,Não,Falta de Apoio Familiar,3536,Rural,1
17,Masculino,1,6.3,66.1%,Não,0,3953,Urbana,0
18,Feminino,2,9.3,87.3%,Sim,Problemas Familiares,3466,Urbana,1
16,Feminino,3,7.8,56.7%,Não,Falta de Interesse,3387,Rural,1
15,Masculino,3,5.7,52.6%,Não,0,1742,Urbana,0
16,Masculino,3,7.8,95.2%,Sim,Falta de Interesse,1056,Rural,1
17,Feminino,2,6.0,97.8%,Sim,Falta de Apoio Familiar,3636,Urbana,1
18,Masculino,2,6.2,78.1%,Sim,Falta de Apoio Escolar,3774,Rural,1
18,Masculino,1,7.9,69.8%,Sim,Falta de Apoio Escolar,2492,Rural,1
16,Masculino,2,5.8,92.7%,Sim,Falta de Apoio Escolar,4964,Urbana,1
16,Masculino,1,7.6,83.0%,Não,Falta de Interesse,3307,Rural,1
16,Feminino,1,6.5,53.7%,Não,Problemas Financeiros,2522,Rural,1
16,Feminino,2,6.6,66.8%,Não,Falta de Interesse,566,Urbana,1
18,Masculino,1,6.9,87.0%,Não,Problemas de Saúde,2527,Urbana,1
16,Masculino,2,5.5,61.1%,Sim,Problemas Financeiros,2983,Rural,1
18,Feminino,3,6.3,68.0%,Não,Problemas Familiares,1127,Rural,1
16,Masculino,3,9.4,53.3%,Sim,Falta de Apoio Familiar,600,Urbana,1
17,Masculino,3,8.8,82.9%,Sim,0,1044,Urbana,0
18,Masculino,2,9.6,80.9%,Não,Problemas de Saúde,1190,Urbana,1
18,Feminino,1,5.2,80.2%,Não,0,3200,Rural,0
16,Feminino,1,9.2,96.2%,Não,Falta de Interesse,3307,Rural,1
15,Masculino,1,6.2,75.7%,Não,Falta de Apoio Familiar,2314,Urbana,1
17,Feminino,3,9.3,73.7%,Não,Problemas de Saúde,1745,Rural,1
16,Feminino,1,8.6,91.4%,Sim,Falta de Apoio Familiar,2156,Rural,1
16,Masculino,1,9.7,81.9%,Não,Problemas Financeiros,2355,Rural,1
15,Masculino,1,7.4,72.0%,Sim,Problemas Familiares,4258,Rural,1
16,Masculino,2,5.1,97.7%,Não,Outros,1636,Rural,1
15,Feminino,1,8.3,68.6%,Sim,0,3381,Rural,0
15,Feminino,1,7.4,82.3%,Sim,Outros,1087,Urbana,1
15,Feminino,2,8.4,84.9%,Sim,Outros,4806,Urbana,1
18,Feminino,2,7.0,97.6%,Não,0,1373,Rural,0
16,Feminino,1,7.9,93.3%,Não,0,4105,Rural,0
17,Masculino,2,6.4,68.3%,Não,Problemas Familiares,2543,Urbana,1
18,Feminino,3,7.0,59.6%,Não,0,3566,Rural,0
16,Feminino,2,9.6,58.4%,Não,Problemas de Saúde,2196,Rural,1
18,Feminino,3,5.5,66.7%,Não,Falta de Interesse,4844,Rural,1
18,Feminino,1,5.3,53.0%,Não,0,4847,Urbana,0
17,Feminino,1,6.3,57.3%,Sim,Falta de Interesse,1778,Urbana,1
18,Feminino,2,8.9,51.6%,Sim,Falta de Apoio Escolar,2718,Urbana,1
17,Feminino,3,6.1,84.1%,Sim,Problemas de Saúde,1504,Rural,1
17,Masculino,2,8.5,84.6%,Sim,Problemas Familiares,1892,Urbana,1
18,Feminino,3,5.3,76.5%,Não,Falta de Interesse,917,Urbana,1
15,Feminino,2,8.4,89.8%,Sim,Problemas de Saúde,4854,Rural,1
18,Feminino,2,7.3,95.4%,Sim,Problemas Familiares,2617,Urbana,1
18,Masculino,2,6.4,71.1%,Sim,Problemas de Saúde,2321,Urbana,1
16,Feminino,1,9.8,79.7%,Não,0,4830,Urbana,0
17,Feminino,1,6.8,94.0%,Sim,Problemas Familiares,4413,Urbana,1
15,Masculino,3,9.8,63.5%,Não,Problemas de Saúde,3774,Rural,1
16,Masculino,1,7.8,55.3%,Não,0,3710,Urbana,0
17,Feminino,2,7.0,73.4%,Não,Problemas Financeiros,1972,Urbana,1
16,Feminino,3,7.6,87.2%,Não,Falta de Apoio Familiar,4910,Rural,1
16,Masculino,3,7.0,94.8%,Sim,Falta de Apoio Familiar,2387,Urbana,1
17,Feminino,3,5.2,72.4%,Não,Falta de Apoio Familiar,2491,Rural,1
15,Masculino,1,9.1,54.5%,Sim,0,3845,Urbana,0
16,Feminino,2,5.0,71.3%,Sim,Problemas Financeiros,882,Urbana,1
16,Feminino,3,5.5,69.2%,Sim,Falta de Apoio Familiar,3007,Urbana,1
16,Feminino,1,8.3,69.7%,Sim,Outros,2078,Urbana,1
18,Masculino,2,8.1,74.2%,Não,Outros,1695,Urbana,1
16,Masculino,2,7.4,87.3%,Não,Problemas Financeiros,2021,Rural,1
17,Masculino,2,6.7,85.0%,Não,Problemas Familiares,2363,Rural,1
18,Feminino,2,7.8,57.6%,Sim,0,2931,Urbana,0
17,Feminino,2,7.9,95.6%,Não,0,1792,Urbana,0
17,Feminino,2,8.3,75.6%,Não,Problemas Financeiros,4402,Rural,1
16,Masculino,3,8.7,54.4%,Não,Falta de Apoio Escolar,3885,Urbana,1
15,Masculino,1,5.9,59.2%,Sim,Outros,4366,Rural,1
15,Masculino,1,7.8,65.6%,Não,Problemas de Saúde,2694,Urbana,1
16,Masculino,2,8.5,92.9%,Sim,Falta de Apoio Escolar,3135,Urbana,1
18,Masculino,2,5.3,64.4%,Sim,Falta de Apoio Escolar,1405,Rural,1
15,Feminino,1,5.4,58.1%,Não,Problemas Financeiros,3812,Rural,1
16,Masculino,2,6.7,98.5%,Sim,0,807,Urbana,0
17,Masculino,2,6.4,87.3%,Sim,0,4930,Urbana,0
17,Masculino,1,7.6,61.7%,Sim,Problemas Familiares,2707,Rural,1
18,Masculino,2,8.9,64.4%,Sim,Falta de Apoio Familiar,3633,Urbana,1
17,Feminino,2,5.3,66.6%,Sim,0,1801,Urbana,0
16,Feminino,3,9.7,76.3%,Não,Falta de Interesse,2327,Rural,1
18,Masculino,2,5.1,73.6%,Não,0,3732,Rural,0
15,Masculino,2,9.7,63.1%,Sim,Falta de Apoio Familiar,1367,Urbana,1
16,Masculino,1,9.9,51.5%,Não,Problemas de Saúde,1114,Rural,1
16,Feminino,1,8.1,69.2%,Sim,0,1416,Urbana,0
16,Feminino,2,7.4,89.4%,Sim,0,4435,Urbana,0
17,Masculino,1,6.6,70.6%,Não,Problemas Familiares,2125,Urbana,1
17,Masculino,1,6.9,54.2%,Não,Falta de Apoio Familiar,3482,Rural,1
15,Masculino,1,7.9,75.1%,Sim,Falta de Apoio Familiar,2169,Rural,1
16,Feminino,2,7.3,58.9%,Não,Problemas Familiares,4534,Rural,1
18,Masculino,2,7.2,85.8%,Não,Problemas de Saúde,1908,Urbana,1
18,Feminino,2,5.1,90.8%,Sim,0,3497,Urbana,0
18,Masculino,2,9.4,68.0%,Não,Falta de Apoio Familiar,2989,Urbana,1
15,Masculino,2,7.0,99.2%,Não,Falta de Apoio Escolar,1322,Urbana,1
16,Masculino,3,6.4,71.2%,Sim,Falta de Apoio Familiar,4053,Rural,1
17,Masculino,2,8.0,64.7%,Sim,0,1657,Rural,0
17,Feminino,2,5.9,83.9%,Não,Falta de Apoio Escolar,561,Urbana,1
16,Feminino,3,7.1,61.2%,Não,Outros,1887,Urbana,1
15,Feminino,3,9.7,97.6%,Sim,Problemas Financeiros,4638,Urbana,1
17,Feminino,3,8.6,65.7%,Sim,Falta de Apoio Escolar,2730,Urbana,1
18,Feminino,2,6.5,87.5%,Sim,0,2145,Urbana,0
18,Masculino,1,7.0,94.8%,Sim,Problemas Financeiros,4774,Rural,1
15,Feminino,2,9.1,91.3%,Não,0,4670,Urbana,0
17,Feminino,2,6.4,59.3%,Não,Problemas Financeiros,2390,Rural,1
17,Masculino,3,5.8,88.8%,Sim,Problemas Financeiros,3665,Rural,1
17,Masculino,3,6.5,60.5%,Não,Falta de Apoio Familiar,4331,Urbana,1
18,Feminino,2,7.2,98.1%,Sim,Problemas de Saúde,1097,Urbana,1
17,Feminino,3,9.1,72.7%,Não,Problemas Familiares,1574,Urbana,1
18,Masculino,2,6.3,64.5%,Sim,Outros,4480,Urbana,1
16,Masculino,2,6.7,62.8%,Sim,Problemas de Saúde,861,Urbana,1
18,Masculino,2,9.3,53.1%,Sim,Falta de Apoio Escolar,1802,Urbana,1
17,Feminino,1,7.3,78.5%,Não,Problemas de Saúde,4840,Rural,1
18,Masculino,1,9.3,98.0%,Sim,Outros,2747,Urbana,1
16,Masculino,1,6.3,82.4%,Não,Falta de Apoio Escolar,3276,Urbana,1
17,Feminino,3,8.0,78.4%,Sim,Outros,3695,Urbana,1
15,Masculino,2,6.3,62.2%,Sim,Problemas Familiares,1506,Urbana,1
16,Feminino,1,8.5,71.6%,Não,Problemas Financeiros,4053,Urbana,1
18,Masculino,2,5.1,88.8%,Não,Falta de Apoio Familiar,4793,Rural,1
17,Masculino,2,5.3,52.7%,Sim,0,2175,Urbana,0
16,Masculino,1,9.3,52.5%,Não,Outros,800,Urbana,1
17,Feminino,1,9.4,69.7%,Sim,0,4842,Rural,0
15,Masculino,2,8.2,78.8%,Sim,Falta de Apoio Familiar,3582,Urbana,1
18,Feminino,3,7.3,96.1%,Não,Problemas Financeiros,2938,Rural,1
18,Feminino,3,8.1,57.6%,Sim,0,2546,Urbana,0
15,Masculino,1,9.4,55.7%,Sim,Falta de Interesse,535,Urbana,1
15,Masculino,3,9.7,93.8%,Não,Outros,687,Urbana,1
16,Masculino,2,6.3,92.3%,Sim,Problemas de Saúde,2873,Rural,1
17,Masculino,2,7.7,80.0%,Sim,Problemas Familiares,2445,Urbana,1
17,Feminino,1,9.5,87.5%,Sim,0,2998,Urbana,0
18,Masculino,1,6.4,73.7%,Sim,Problemas Financeiros,2345,Rural,1
18,Masculino,2,9.5,68.1%,Não,Problemas Financeiros,862,Rural,1
16,Masculino,2,7.0,60.7%,Sim,Outros,4175,Urbana,1
16,Feminino,1,8.5,66.8%,Não,Falta de Apoio Familiar,2221,Urbana,1
15,Feminino,3,9.3,78.5%,Sim,Problemas de Saúde,1373,Rural,1
16,Feminino,1,6.6,54.0%,Não,0,3932,Urbana,0
15,Masculino,2,6.6,95.9%,Sim,Falta de Interesse,4947,Urbana,1
16,Feminino,1,8.8,97.0%,Sim,Falta de Interesse,4688,Rural,1
18,Masculino,3,7.5,59.9%,Não,Falta de Apoio Familiar,4017,Urbana,1
17,Masculino,3,7.4,81.7%,Não,Problemas de Saúde,560,Urbana,1
16,Feminino,3,5.1,61.4%,Não,Problemas Financeiros,1105,Rural,1
15,Feminino,3,7.3,65.5%,Sim,Falta de Apoio Escolar,2032,Rural,1
15,Masculino,1,7.4,52.7%,Sim,Problemas de Saúde,562,Urbana,1
18,Feminino,2,7.8,85.1%,Não,Falta de Apoio Escolar,2168,Urbana,1
15,Masculino,3,6.4,59.1%,Sim,Falta de Apoio Familiar,4764,Urbana,1
17,Feminino,3,6.0,67.5%,Não,Problemas Familiares,2468,Urbana,1
17,Masculino,1,5.9,63.1%,Não,Problemas de Saúde,2649,Urbana,1
18,Feminino,3,8.6,76.2%,Não,Problemas de Saúde,1231,Rural,1
16,Masculino,1,6.1,53.5%,Não,Problemas Familiares,4924,Urbana,1
17,Feminino,2,6.7,80.2%,Não,Falta de Apoio Escolar,1831,Rural,1
15,Feminino,2,8.4,85.5%,Sim,Problemas Financeiros,4738,Rural,1
15,Feminino,2,9.4,94.1%,Sim,Falta de Apoio Escolar,4556,Rural,1
17,Masculino,2,8.6,99.8%,Sim,Falta de Apoio Escolar,1127,Rural,1
17,Masculino,2,7.6,65.7%,Não,Problemas de Saúde,1128,Rural,1
16,Feminino,3,7.8,89.5%,Não,Problemas Familiares,3595,Urbana,1
15,Masculino,3,6.8,65.3%,Não,Falta de Interesse,3225,Rural,1
17,Feminino,1,5.7,77.3%,Sim,Problemas Financeiros,2410,Rural,1
15,Masculino,3,6.3,91.2%,Sim,Falta de Apoio Escolar,1017,Urbana,1
18,Feminino,3,7.0,83.8%,Não,Problemas Familiares,3809,Urbana,1
17,Masculino,2,8.5,61.1%,Sim,Falta de Apoio Familiar,3558,Urbana,1
15,Masculino,3,9.6,91.4%,Não,Falta de Interesse,3982,Urbana,1
16,Masculino,2,7.9,99.9%,Não,0,2522,Urbana,0
16,Feminino,1,7.8,52.2%,Sim,Falta de Interesse,3167,Rural,1
15,Masculino,2,6.6,80.7%,Não,Falta de Interesse,1239,Urbana,1
15,Feminino,3,5.5,99.3%,Não,0,3959,Urbana,0
17,Feminino,1,7.6,58.5%,Não,0,728,Urbana,0
16,Masculino,2,5.2,60.0%,Sim,Problemas Familiares,3004,Urbana,1
17,Masculino,2,7.5,73.8%,Sim,Problemas Familiares,4647,Rural,1
17,Masculino,2,7.9,60.6%,Não,Problemas Financeiros,1707,Rural,1
18,Feminino,1,7.0,86.7%,Não,Falta de Apoio Escolar,4776,Urbana,1
16,Feminino,2,8.4,87.4%,Sim,0,3902,Urbana,0
18,Masculino,1,8.8,61.9%,Não,Problemas Familiares,4687,Urbana,1
15,Masculino,2,8.8,82.6%,Sim,Falta de Apoio Familiar,2022,Rural,1
16,Feminino,2,7.9,97.9%,Não,Falta de Apoio Escolar,1183,Rural,1
16,Masculino,2,6.6,87.1%,Não,Problemas Familiares,1017,Rural,1
16,Feminino,3,5.9,53.1%,Sim,Problemas Familiares,1485,Urbana,1
18,Masculino,2,9.7,66.4%,Sim,Outros,1479,Urbana,1
16,Feminino,2,6.8,76.7%,Não,Falta de Apoio Familiar,938,Urbana,1
17,Masculino,2,9.5,65.2%,Sim,Problemas Financeiros,1656,Urbana,1
15,Masculino,3,5.8,80.1%,Sim,Falta de Apoio Familiar,1359,Rural,1
18,Feminino,1,9.1,94.2%,Não,Outros,701,Rural,1
17,Masculino,3,9.8,86.7%,Sim,Outros,3257,Urbana,1
17,Feminino,1,5.3,92.8%,Sim,Falta de Apoio Familiar,3006,Urbana,1
15,Feminino,2,9.2,96.6%,Não,Problemas Familiares,4429,Urbana,1
17,Feminino,1,5.8,73.4%,Não,Problemas de Saúde,2042,Rural,1
15,Masculino,1,7.4,88.2%,Não,Falta de Apoio Familiar,3505,Urbana,1
15,Feminino,1,9.5,67.3%,Não,Problemas Financeiros,3649,Urbana,1
16,Feminino,1,5.4,68.0%,Sim,Falta de Apoio Familiar,1257,Urbana,1
15,Feminino,3,8.2,60.2%,Sim,Outros,4834,Urbana,1
18,Feminino,3,9.4,88.5%,Sim,Falta de Apoio Escolar,4537,Urbana,1
18,Feminino,1,6.8,57.8%,Sim,Outros,3578,Urbana,1
15,Feminino,2,5.4,60.2%,Não,Outros,2781,Urbana,1
18,Feminino,3,6.0,68.9%,Sim,Problemas de Saúde,1185,Urbana,1
17,Feminino,2,5.4,80.9%,Não,Falta de Apoio Familiar,1745,Urbana,1
16,Masculino,1,7.1,52.9%,Sim,Falta de Interesse,4024,Rural,1
15,Masculino,3,5.5,69.6%,Não,Falta de Interesse,2582,Urbana,1
16,Masculino,3,6.5,74.6%,Não,Falta de Apoio Escolar,3245,Rural,1
17,Masculino,2,6.1,71.6%,Não,Falta de Apoio Escolar,1924,Rural,1
16,Masculino,2,7.5,55.7%,Não,Problemas Familiares,2091,Rural,1
15,Masculino,2,9.1,96.4%,Não,Falta de Apoio Escolar,3282,Urbana,1
15,Feminino,1,6.8,80.3%,Não,Falta de Apoio Familiar,3761,Urbana,1
17,Feminino,3,6.5,93.9%,Não,Falta de Apoio Familiar,852,Rural,1
17,Feminino,3,9.0,71.1%,Não,Outros,1450,Urbana,1
16,Masculino,3,5.2,86.5%,Sim,Falta de Apoio Familiar,557,Rural,1
17,Feminino,2,5.1,52.0%,Sim,Problemas Financeiros,4130,Urbana,1
16,Masculino,1,6.4,89.9%,Não,Problemas Financeiros,3636,Rural,1
16,Masculino,1,6.3,75.0%,Não,Falta de Apoio Familiar,935,Urbana,1
16,Masculino,2,5.8,67.4%,Não,Problemas de Saúde,3625,Rural,1
15,Masculino,1,9.0,87.4%,Sim,Falta de Apoio Familiar,3462,Rural,1
16,Feminino,1,5.8,53.5%,Não,Falta de Interesse,3944,Urbana,1
16,Feminino,1,8.9,71.3%,Não,Problemas Familiares,996,Rural,1
18,Feminino,1,6.5,94.4%,Sim,Outros,3656,Urbana,1
16,Masculino,3,6.8,50.7%,Sim,Problemas Familiares,2568,Rural,1
16,Feminino,2,5.6,59.8%,Não,Outros,623,Rural,1
18,Masculino,2,6.2,60.5%,Não,Problemas Familiares,2174,Rural,1
15,Masculino,1,9.5,93.8%,Sim,Falta de Interesse,1010,Rural,1
15,Masculino,2,8.1,53.0%,Não,Problemas de Saúde,2337,Urbana,1
15,Feminino,3,8.2,95.4%,Não,Outros,3119,Rural,1
15,Masculino,2,7.5,90.8%,Sim,Problemas Familiares,4275,Urbana,1
17,Feminino,1,5.9,64.5%,Não,Problemas Familiares,3554,Rural,1
15,Feminino,2,8.8,78.6%,Não,Problemas de Saúde,3936,Rural,1
15,Masculino,2,9.1,78.2%,Sim,Problemas Financeiros,3143,Rural,1
18,Masculino,1,9.8,77.1%,Sim,Outros,2793,Rural,1
15,Masculino,1,9.0,77.2%,Não,0,3076,Urbana,0
16,Feminino,3,6.3,88.4%,Não,Problemas Financeiros,3178,Rural,1
15,Masculino,1,8.0,85.4%,Não,Outros,2308,Rural,1
18,Feminino,3,9.8,75.8%,Sim,0,2027,Urbana,0
17,Masculino,3,9.0,92.9%,Sim,Problemas de Saúde,4015,Urbana,1
17,Masculino,1,9.7,64.4%,Não,Falta de Interesse,3916,Urbana,1
17,Feminino,3,8.8,94.7%,Não,Falta de Interesse,1357,Rural,1
16,Feminino,1,7.5,60.4%,Sim,Problemas Financeiros,2626,Urbana,1
18,Masculino,1,5.3,72.5%,Não,Falta de Apoio Escolar,4452,Rural,1
18,Feminino,2,7.0,93.2%,Sim,Falta de Apoio Escolar,3501,Urbana,1
17,Feminino,2,8.6,73.6%,Não,Problemas Financeiros,3913,Urbana,1
18,Masculino,2,9.8,50.3%,Não,0,1550,Rural,0
18,Masculino,2,9.8,56.7%,Sim,Falta de Apoio Familiar,827,Rural,1
17,Feminino,3,6.3,70.5%,Sim,Problemas Financeiros,2638,Urbana,1
18,Feminino,2,5.8,77.8%,Não,0,2960,Urbana,0
15,Feminino,2,5.3,63.7%,Não,Problemas Financeiros,3409,Rural,1
16,Masculino,2,9.0,87.7%,Não,Outros,3220,Urbana,1
16,Masculino,1,7.0,85.8%,Sim,0,3595,Urbana,0
18,Masculino,3,6.9,81.3%,Não,Falta de Interesse,3478,Rural,1
15,Masculino,1,9.3,91.8%,Não,Falta de Interesse,2559,Urbana,1
15,Masculino,1,7.8,57.3%,Sim,Problemas de Saúde,806,Rural,1
15,Feminino,3,6.3,84.8%,Não,Falta de Apoio Familiar,4000,Rural,1
17,Feminino,2,7.3,92.6%,Não,0,4467,Urbana,0
15,Feminino,3,9.1,82.6%,Sim,Falta de Apoio Escolar,836,Urbana,1
17,Masculino,1,6.2,78.9%,Não,Outros,3677,Rural,1
18,Feminino,3,7.9,97.5%,Sim,Problemas Familiares,2756,Urbana,1
18,Masculino,2,10.0,68.5%,Sim,Falta de Apoio Escolar,4469,Urbana,1
17,Feminino,2,6.6,92.9%,Sim,Problemas Financeiros,815,Rural,1
17,Masculino,3,9.9,79.2%,Sim,Problemas de Saúde,3783,Rural,1
16,Masculino,1,9.5,83.9%,Sim,Falta de Interesse,3556,Urbana,1
18,Masculino,1,7.6,52.8%,Sim,Problemas Financeiros,4024,Urbana,1
18,Masculino,3,6.3,54.0%,Sim,Outros,4511,Urbana,1
17,Feminino,3,7.1,97.7%,Não,Outros,1124,Urbana,1
16,Masculino,3,7.1,80.3%,Não,Problemas de Saúde,2079,Urbana,1
16,Feminino,3,5.3,77.9%,Sim,Problemas Financeiros,4914,Rural,1
16,Masculino,1,7.7,86.2%,Sim,Outros,2498,Urbana,1
18,Feminino,3,8.8,74.1%,Não,Outros,3370,Urbana,1
15,Masculino,1,5.1,95.3%,Não,Outros,1045,Rural,1
17,Masculino,3,8.1,56.5%,Sim,Falta de Interesse,3242,Rural,1
17,Feminino,2,6.9,82.4%,Não,Problemas de Saúde,717,Rural,1
16,Masculino,3,8.3,81.2%,Sim,Problemas Financeiros,1403,Urbana,1
16,Feminino,1,5.7,94.0%,Não,0,1105,Urbana,0
16,Masculino,2,7.1,90.7%,Sim,Problemas de Saúde,4296,Urbana,1
17,Masculino,1,5.8,68.6%,Não,Outros,762,Urbana,1
17,Feminino,1,5.9,66.5%,Não,Problemas de Saúde,1599,Rural,1
18,Masculino,3,8.3,94.2%,Não,Falta de Apoio Familiar,4007,Urbana,1
15,Masculino,2,8.4,54.3%,Sim,0,4210,Rural,0
15,Masculino,3,8.3,89.6%,Sim,Problemas de Saúde,1701,Rural,1
15,Masculino,3,9.3,92.6%,Não,Problemas Financeiros,4211,Urbana,1
15,Masculino,1,5.1,66.7%,Não,Problemas Familiares,1833,Urbana,1
16,Feminino,1,8.7,98.1%,Não,Falta de Interesse,4664,Rural,1
18,Masculino,1,9.9,80.7%,Não,Problemas Financeiros,3679,Urbana,1
18,Masculino,2,5.6,98.7%,Não,Outros,1389,Rural,1
17,Feminino,1,9.8,70.7%,Sim,0,652,Urbana,0
17,Masculino,3,9.4,95.0%,Não,Falta de Apoio Familiar,2218,Rural,1
17,Masculino,3,5.8,67.2%,Sim,Outros,3856,Urbana,1
16,Masculino,3,8.9,59.3%,Sim,Falta de Interesse,4202,Urbana,1
17,Masculino,2,8.6,70.5%,Não,Problemas Financeiros,895,Rural,1
18,Feminino,2,5.2,71.2%,Não,Problemas Familiares,1747,Urbana,1
16,Feminino,2,7.3,83.5%,Sim,Falta de Interesse,4041,Urbana,1
18,Masculino,3,5.3,80.9%,Sim,Outros,2961,Rural,1
16,Masculino,2,7.2,56.0%,Não,Problemas de Saúde,3895,Rural,1
17,Feminino,3,7.0,52.3%,Sim,0,3609,Rural,0
16,Feminino,1,7.5,80.5%,Sim,Outros,3138,Rural,1
17,Masculino,3,7.3,63.1%,Não,Outros,4336,Urbana,1
15,Feminino,2,6.4,79.7%,Não,Problemas Familiares,1111,Urbana,1
15,Masculino,3,6.2,64.0%,Sim,0,4403,Rural,0
16,Masculino,2,9.5,52.2%,Sim,Falta de Interesse,3702,Urbana,1
18,Masculino,3,7.6,97.5%,Não,Outros,4623,Rural,1
15,Feminino,1,7.8,63.1%,Sim,Falta de Interesse,1838,Rural,1
18,Masculino,2,6.9,98.9%,Sim,Falta de Interesse,3293,Rural,1
17,Feminino,1,6.5,77.5%,Não,Falta de Apoio Familiar,811,Urbana,1
17,Masculino,3,8.8,99.9%,Sim,Outros,4991,Rural,1
16,Masculino,1,5.3,56.3%,Não,Problemas de Saúde,2853,Rural,1
15,Masculino,2,5.6,58.2%,Sim,Falta de Apoio Escolar,4502,Urbana,1
17,Feminino,2,6.4,52.2%,Não,Falta de Interesse,822,Urbana,1
15,Feminino,2,5.4,95.7%,Não,Problemas de Saúde,3093,Rural,1
18,Feminino,1,9.7,82.9%,Sim,Problemas Financeiros,1795,Rural,1
15,Masculino,1,5.4,88.0%,Não,Problemas de Saúde,1459,Urbana,1
17,Masculino,2,7.3,62.8%,Sim,Falta de Apoio Escolar,530,Urbana,1
18,Feminino,2,6.6,69.8%,Sim,Problemas Financeiros,4276,Rural,1
18,Masculino,3,6.2,67.4%,Sim,Falta de Apoio Familiar,4276,Urbana,1
17,Feminino,2,6.8,74.8%,Sim,Falta de Interesse,2366,Rural,1
18,Feminino,2,7.4,67.3%,Não,0,845,Urbana,0
16,Masculino,3,8.7,53.1%,Não,Problemas de Saúde,1584,Urbana,1
15,Feminino,2,7.3,51.7%,Não,0,1563,Rural,0
17,Masculino,2,8.4,61.2%,Não,Falta de Apoio Familiar,3480,Rural,1
18,Feminino,1,7.2,51.2%,Sim,Falta de Interesse,2230,Urbana,1
15,Feminino,1,9.9,66.2%,Sim,Problemas Financeiros,1923,Rural,1
18,Feminino,1,5.0,76.9%,Não,0,585,Urbana,0
